REGION,ISO,COUNTRY,INDICATOR,MEASURE,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Asia,CHN2,China (Official),GDP EKS,"Total GDP, in millions of 2017 US$ (converted to 2017 price level with updated 2011 PPPs)",,,"135,668","156,832","163,576","174,862","201,092","211,347","256,364","279,437","279,437","203,151","191,774","211,527","250,025","292,529","323,830","305,372","292,851","342,343","408,415","437,413","454,035","489,449","500,707","544,268","535,560","576,262","643,685","692,605","746,628","784,707","855,330","947,706","1,091,757","1,238,052","1,348,239","1,505,983","1,674,653","1,744,989","1,813,970","1,982,160","2,262,829","2,575,352","2,909,056","3,230,080","3,553,733","3,886,925","4,197,004","4,529,420","4,924,597","5,344,854","5,839,035","6,430,746","7,090,661","7,916,173","8,956,163","10,281,483","11,350,492","12,474,132","13,845,887","15,210,132","16,485,820","17,856,158","19,253,226","20,689,097","22,184,646","23,824,636","25,516,128"
Asia,CHN2,China (Official),Employment,Persons employed (in thousands of persons),"202,863","205,064","207,290","213,640","218,320","223,280","230,180","237,710","266,000","261,730","258,800","255,900","259,100","266,400","277,360","286,700","298,050","308,140","319,150","332,250","344,320","356,200","358,540","366,520","373,690","381,680","388,340","393,770","401,520","410,240","423,610","437,250","452,950","464,360","481,970","498,730","512,820","527,830","543,340","553,290","647,490","654,910","661,520","668,080","674,550","680,650","689,500","698,200","706,370","713,940","720,850","727,970","732,800","737,360","742,640","746,470","749,780","753,210","755,640","758,280","761,050","764,200","767,040","769,770","772,530","774,510","776,030","776,400","773,931"
Asia,CHN2,China (Official),Average Hours Worked,Annual hours worked per worker,,,,,,,,,,,,,,,,,,,,,"1,976","1,976","1,976","1,975","1,975","1,975","1,974","1,973","1,973","1,972","1,971","1,971","1,971","1,970","1,970","1,969","1,970","1,971","1,973","1,974","1,975","1,977","1,978","1,982","1,989","2,002","2,017","2,037","2,062","2,082","2,090","2,104","2,118","2,138","2,168","2,192","2,183","2,153","2,132","2,139","2,173","2,179","2,184","2,178","2,178","2,174","2,174","2,174","2,174"
Asia,CHN2,China (Official),Total Hours,Total annual hours worked (in millions of hours worked),,,,,,,,,,,,,,,,,,,,,"680,484","703,778","708,299","724,011","738,109","753,779","766,664","777,080","792,090","809,036","835,146","861,864","892,631","914,879","949,347","982,194","1,010,482","1,040,597","1,071,834","1,092,187","1,279,022","1,294,678","1,308,767","1,323,901","1,341,885","1,362,548","1,390,907","1,422,491","1,456,573","1,486,470","1,506,919","1,531,294","1,552,217","1,576,537","1,609,966","1,636,527","1,636,812","1,621,400","1,610,712","1,621,845","1,653,541","1,665,017","1,675,392","1,676,745","1,682,697","1,684,056","1,687,361","1,688,166","1,682,796"
Asia,CHN2,China (Official),Population,Midyear population (in thousands of persons),"546,815","557,480","568,910","581,390","595,310","608,655","621,465","637,408","653,235","666,005","667,070","660,330","665,770","682,335","698,355","715,185","735,400","754,550","774,510","796,025","818,315","841,105","862,030","881,940","900,350","916,395","930,685","943,455","956,165","969,005","981,235","993,861","1,000,281","1,023,288","1,036,825","1,051,040","1,066,790","1,084,035","1,101,630","1,118,650","1,135,185","1,149,979","1,163,363","1,176,727","1,189,962","1,202,581","1,215,171","1,227,453","1,238,722","1,248,899","1,258,401","1,267,178","1,275,379","1,283,064","1,290,620","1,298,245","1,305,116","1,311,877","1,318,559","1,324,993","1,331,357","1,337,752","1,344,394","1,351,026","1,358,076","1,364,827","1,372,860","1,380,942","1,389,063"
Asia,CHN2,China (Official),Output per Employed Person,Labor productivity per person employed in 2017 US$ (converted to 2017 price level with updated 2011 PPPs),,,654,734,749,783,874,889,964,"1,068","1,080",794,740,794,901,"1,020","1,086",991,918,"1,030","1,186","1,228","1,266","1,335","1,340","1,426","1,379","1,463","1,603","1,688","1,763","1,795","1,888","2,041","2,265","2,482","2,629","2,853","3,082","3,154","2,802","3,027","3,421","3,855","4,313","4,746","5,154","5,567","5,942","6,344","6,832","7,342","7,968","8,721","9,548","10,605","11,945","13,650","15,021","16,451","18,193","19,903","21,493","23,197","24,922","26,712","28,587","30,686","32,970"
Asia,CHN2,China (Official),Output per Hour Worked,Labor productivity per hour worked in 2017 US$ (converted to 2017 price level with updated 2011 PPPs),,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,3,3,3,3,3,3,4,4,4,5,5,6,7,8,8,9,10,11,11,12,13,14,15
Asia,CHN2,China (Official),Per Capita Income,GDP per capita in 2017 US$ (converted to 2017 price level with updated 2011 PPPs),,,238,270,275,287,324,332,392,420,419,308,288,310,358,409,440,405,378,430,499,520,527,555,556,594,575,611,673,715,761,790,855,926,"1,053","1,178","1,264","1,389","1,520","1,560","1,598","1,724","1,945","2,189","2,445","2,686","2,924","3,167","3,388","3,627","3,913","4,218","4,578","5,012","5,494","6,098","6,862","7,837","8,608","9,414","10,400","11,370","12,263","13,217","14,177","15,159","16,159","17,252","18,369"
Asia,CHN2,China (Official),GDP growth,"Growth of GDP, percent change",,,,16,4,7,15,5,21,9,0,-27,-6,10,18,17,11,-6,-4,17,19,7,4,8,2,9,-2,8,12,8,8,5,9,11,15,13,9,12,11,4,4,9,14,14,13,11,10,9,8,8,9,9,9,10,10,12,13,15,10,10,11,10,8,8,8,7,7,7,7
Asia,CHN2,China (Official),Employment growth,"Growth of employment, percent change",,1,1,3,2,2,3,3,12,-2,-1,-1,1,3,4,3,4,3,4,4,4,3,1,2,2,2,2,1,2,2,3,3,4,3,4,3,3,3,3,2,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Asia,CHN2,China (Official),Total Hours growth,"Growth of total hours worked, percent change",,,,,,,,,,,,,,,,,,,,,,3,1,2,2,2,2,1,2,2,3,3,4,2,4,3,3,3,3,2,17,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,0,-1,-1,1,2,1,1,0,0,0,0,0,0
Asia,CHN2,China (Official),Population growth,"Growth of population, percent change",,2,2,2,2,2,2,3,2,2,0,-1,1,2,2,2,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1
Asia,CHN2,China (Official),Output per Employed Person growth,"Growth of Labor Productivity per person employed, percent change",,,,12,2,5,12,2,8,11,1,-26,-7,7,14,13,6,-9,-7,12,15,4,3,5,0,6,-3,6,10,5,4,2,5,8,11,10,6,9,8,2,-11,8,13,13,12,10,9,8,7,7,8,7,9,9,9,11,13,14,10,10,11,9,8,8,7,7,7,7,7
Asia,CHN2,China (Official),Output per Hour Worked growth,"Growth of Labor Productivity per hour worked, percent change",,,,,,,,,,,,,,,,,,,,,,4,3,5,0,6,-3,6,10,5,4,2,5,8,11,10,6,8,8,2,-11,8,13,13,11,9,8,7,5,6,7,7,8,8,8,10,13,16,11,9,9,9,8,8,7,7,7,7,7
Asia,CHN2,China (Official),Per Capita Income growth,"Growth of GDP per capita, percent change",,,,13,2,5,13,2,18,7,0,-27,-6,8,15,14,8,-8,-7,14,16,4,1,5,0,7,-3,6,10,6,6,4,8,8,14,12,7,10,9,3,2,8,13,13,12,10,9,8,7,7,8,8,9,9,10,11,13,14,10,9,10,9,8,8,7,7,7,7,6
Asia,HKG,Hong Kong,GDP EKS,"Total GDP, in millions of 2017 US$ (converted to 2017 price level with updated 2011 PPPs)","8,339","7,775","8,494","9,269","10,119","11,032","11,993","12,990","14,025","15,094","16,196","17,270","20,289","23,475","25,487","29,176","29,679","30,183","31,188","34,709","37,895","40,578","44,771","50,304","51,477","51,645","60,030","67,072","72,772","81,157","89,372","97,589","100,271","105,974","116,537","117,039","129,616","146,383","158,121","162,146","167,679","177,240","188,291","199,967","212,037","217,070","226,314","237,855","223,863","229,475","247,061","248,446","252,562","260,282","282,927","303,830","325,197","346,220","353,587","344,892","368,233","385,963","392,525","404,700","415,879","425,810","434,910","451,538","466,689"
Asia,HKG,Hong Kong,Employment,Persons employed (in thousands of persons),781,806,833,860,888,917,947,978,"1,010","1,042","1,076","1,112","1,149","1,186","1,226","1,266","1,308","1,351","1,396","1,442","1,489","1,547","1,600","1,660","1,732","1,814","1,851","1,923","2,000","2,080","2,233","2,404","2,405","2,422","2,500","2,540","2,615","2,676","2,723","2,724","2,712","2,749","2,740","2,790","2,869","2,904","3,048","3,156","3,131","3,112","3,195","3,255","3,221","3,197","3,269","3,335","3,403","3,474","3,511","3,473","3,473","3,570","3,648","3,715","3,737","3,773","3,782","3,829","3,835"
Asia,HKG,Hong Kong,Average Hours Worked,Annual hours worked per worker,"2,934","2,912","2,890","2,869","2,847","2,826","2,805","2,784","2,763","2,743","2,722","2,702","2,682","2,662","2,642","2,622","2,603","2,583","2,564","2,545","2,526","2,527","2,526","2,524","2,522","2,520","2,518","2,508","2,499","2,490","2,479","2,466","2,442","2,411","2,382","2,356","2,360","2,324","2,372","2,314","2,279","2,310","2,224","2,288","2,292","2,255","2,304","2,258","2,259","2,302","2,331","2,326","2,343","2,331","2,354","2,346","2,315","2,328","2,277","2,252","2,302","2,257","2,236","2,225","2,175","2,186","2,186","2,186","2,186"
Asia,HKG,Hong Kong,Total Hours,Total annual hours worked (in millions of hours worked),"2,292","2,349","2,407","2,467","2,528","2,591","2,656","2,722","2,790","2,859","2,930","3,004","3,080","3,158","3,238","3,320","3,404","3,490","3,578","3,669","3,762","3,909","4,041","4,191","4,367","4,571","4,661","4,824","4,997","5,181","5,535","5,928","5,871","5,839","5,953","5,984","6,171","6,220","6,460","6,303","6,179","6,350","6,094","6,384","6,576","6,547","7,023","7,126","7,073","7,163","7,446","7,572","7,549","7,452","7,698","7,826","7,880","8,086","7,995","7,820","7,994","8,057","8,154","8,267","8,129","8,245","8,265","8,369","8,383"
Asia,HKG,Hong Kong,Population,Midyear population (in thousands of persons),"1,942","2,030","2,125","2,227","2,336","2,450","2,567","2,685","2,800","2,912","3,016","3,111","3,198","3,278","3,356","3,433","3,511","3,589","3,666","3,741","3,810","3,874","3,934","3,996","4,072","4,167","4,286","4,424","4,571","4,712","4,836","4,939","5,025","5,100","5,173","5,251","5,337","5,427","5,519","5,607","5,688","5,750","5,821","5,930","6,050","6,200","6,350","6,399","6,464","6,518","6,590","6,608","6,604","6,641","6,675","6,714","6,779","6,812","6,838","6,869","6,924","6,981","7,041","7,080","7,121","7,177","7,233","7,290","7,347"
Asia,HKG,Hong Kong,Output per Employed Person,Labor productivity per person employed in 2017 US$ (converted to 2017 price level with updated 2011 PPPs),"10,678","9,640","10,200","10,779","11,396","12,032","12,667","13,287","13,893","14,480","15,047","15,532","17,664","19,786","20,795","23,045","22,693","22,341","22,348","24,076","25,447","26,235","27,982","30,295","29,730","28,475","32,429","34,878","36,390","39,012","40,031","40,599","41,700","43,751","46,624","46,082","49,572","54,699","58,072","59,525","61,835","64,473","68,724","71,667","73,898","74,760","74,251","75,363","71,507","73,740","77,331","76,327","78,407","81,413","86,536","91,098","95,559","99,669","100,705","99,319","106,036","108,108","107,613","108,943","111,285","112,867","115,004","117,913","121,679"
Asia,HKG,Hong Kong,Output per Hour Worked,Labor productivity per hour worked in 2017 US$ (converted to 2017 price level with updated 2011 PPPs),4,3,4,4,4,4,5,5,5,5,6,6,7,7,8,9,9,9,9,9,10,10,11,12,12,11,13,14,15,16,16,16,17,18,20,20,21,24,24,26,27,28,31,31,32,33,32,33,32,32,33,33,33,35,37,39,41,43,44,44,46,48,48,49,51,52,53,54,56
Asia,HKG,Hong Kong,Per Capita Income,GDP per capita in 2017 US$ (converted to 2017 price level with updated 2011 PPPs),"4,294","3,830","3,997","4,161","4,332","4,503","4,673","4,839","5,008","5,184","5,371","5,552","6,345","7,161","7,595","8,499","8,454","8,410","8,506","9,279","9,945","10,474","11,382","12,587","12,641","12,392","14,006","15,160","15,920","17,224","18,481","19,758","19,953","20,779","22,527","22,288","24,287","26,972","28,650","28,918","29,480","30,825","32,344","33,718","35,046","35,014","35,641","37,172","34,634","35,208","37,489","37,598","38,244","39,191","42,388","45,253","47,973","50,824","51,711","50,209","53,181","55,287","55,749","57,159","58,398","59,326","60,125","61,936","63,518"
Asia,HKG,Hong Kong,GDP growth,"Growth of GDP, percent change",,-7,9,9,9,9,9,8,8,8,7,7,17,16,9,14,2,2,3,11,9,7,10,12,2,0,16,12,8,12,10,9,3,6,10,0,11,13,8,3,3,6,6,6,6,2,4,5,-6,3,8,1,2,3,9,7,7,6,2,-2,7,5,2,3,3,2,2,4,3
Asia,HKG,Hong Kong,Employment growth,"Growth of employment, percent change",,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,5,2,4,4,4,7,8,0,1,3,2,3,2,2,0,0,1,0,2,3,1,5,4,-1,-1,3,2,-1,-1,2,2,2,2,1,-1,0,3,2,2,1,1,0,1,0
Asia,HKG,Hong Kong,Total Hours growth,"Growth of total hours worked, percent change",,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,3,4,4,5,2,3,4,4,7,7,-1,-1,2,1,3,1,4,-2,-2,3,-4,5,3,0,7,1,-1,1,4,2,0,-1,3,2,1,3,-1,-2,2,1,1,1,-2,1,0,1,0
Asia,HKG,Hong Kong,Population growth,"Growth of population, percent change",,5,5,5,5,5,5,5,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
Asia,HKG,Hong Kong,Output per Employed Person growth,"Growth of Labor Productivity per person employed, percent change",,-10,6,6,6,6,5,5,5,4,4,3,14,12,5,11,-2,-2,0,8,6,3,7,8,-2,-4,14,8,4,7,3,1,3,5,7,-1,8,10,6,3,4,4,7,4,3,1,-1,1,-5,3,5,-1,3,4,6,5,5,4,1,-1,7,2,0,1,2,1,2,3,3
Asia,HKG,Hong Kong,Output per Hour Worked growth,"Growth of Labor Productivity per hour worked, percent change",,-9,7,6,7,6,6,6,5,5,5,4,15,13,6,12,-1,-1,1,9,6,3,7,8,-2,-4,14,8,5,8,3,2,4,6,8,0,7,12,4,5,6,3,11,1,3,3,-3,4,-5,1,4,-1,2,4,5,6,6,4,3,0,4,4,0,2,5,1,2,3,3
Asia,HKG,Hong Kong,Per Capita Income growth,"Growth of GDP per capita, percent change",,-11,4,4,4,4,4,4,3,4,4,3,14,13,6,12,-1,-1,1,9,7,5,9,11,0,-2,13,8,5,8,7,7,1,4,8,-1,9,11,6,1,2,5,5,4,4,0,2,4,-7,2,6,0,2,2,8,7,6,6,2,-3,6,4,1,3,2,2,1,3,3
Asia,IND,India,GDP EKS,"Total GDP, in millions of 2017 US$ (converted to 2017 price level with updated 2011 PPPs)","327,307","333,191","342,574","361,353","378,264","389,022","408,309","410,743","432,854","447,901","473,730","492,651","504,539","526,248","563,182","556,557","554,698","590,033","613,485","648,074","683,578","697,352","697,371","721,045","735,182","785,850","810,205","859,159","910,219","887,498","923,007","981,590","1,020,185","1,089,881","1,143,223","1,188,529","1,238,330","1,292,156","1,407,222","1,514,019","1,598,104","1,634,166","1,702,008","1,799,083","1,923,409","2,064,260","2,223,542","2,346,911","2,488,207","2,660,535","2,811,713","2,920,536","3,055,801","3,264,030","3,517,856","3,835,348","4,193,560","4,615,230","4,904,673","5,152,898","5,716,622","6,113,911","6,449,303","6,845,899","7,326,025","7,884,089","8,509,405","9,048,511","9,651,152"
Asia,IND,India,Employment,Persons employed (in thousands of persons),"162,475","165,041","167,648","170,297","172,987","175,720","178,496","181,316","184,180","187,090","190,045","193,586","195,149","196,808","198,534","200,304","202,100","203,905","205,708","207,500","209,276","215,772","222,420","229,246","236,295","243,594","251,135","258,909","266,912","275,134","283,562","290,516","297,754","304,368","308,534","313,022","317,884","323,185","330,003","337,568","345,538","353,925","362,748","372,033","376,768","380,164","383,887","387,950","392,367","397,156","406,055","416,871","428,470","440,938","454,375","456,670","455,756","455,706","456,556","458,369","463,064","470,603","476,173","482,904","490,914","499,321","508,093","515,361","522,452"
Asia,IND,India,Average Hours Worked,Annual hours worked per worker,,,,,,,,,,,,,,,,,,,,,"2,077","2,077","2,077","2,075","2,072","2,070","2,067","2,065","2,064","2,064","2,064","2,064","2,064","2,065","2,067","2,069","2,071","2,072","2,075","2,078","2,078","2,079","2,077","2,076","2,076","2,077","2,080","2,079","2,081","2,083","2,087","2,087","2,089","2,092","2,096","2,097","2,097","2,098","2,100","2,104","2,110","2,114","2,116","2,117","2,118","2,117","2,117","2,117","2,117"
Asia,IND,India,Total Hours,Total annual hours worked (in millions of hours worked),,,,,,,,,,,,,,,,,,,,,"434,735","448,178","461,869","475,646","489,689","504,230","519,136","534,745","551,018","567,939","585,280","599,516","614,611","628,556","637,649","647,519","658,203","669,726","684,781","701,512","718,194","735,918","753,396","772,292","782,052","789,637","798,420","806,697","816,415","827,153","847,285","869,915","895,029","922,440","952,269","957,599","955,764","956,126","958,600","964,196","977,247","994,677","1,007,444","1,022,358","1,039,800","1,057,067","1,075,639","1,091,026","1,106,037"
Asia,IND,India,Population,Midyear population (in thousands of persons),"359,000","365,000","372,000","379,000","386,000","393,000","401,000","409,000","418,000","426,000","434,000","444,000","454,000","464,000","474,000","485,000","495,000","506,000","518,000","529,000","541,000","554,000","567,000","580,000","593,000","607,000","620,000","634,000","648,000","664,000","679,000","692,000","708,000","723,000","739,000","755,000","771,000","788,000","805,000","822,000","839,000","854,581","870,986","887,634","904,486","921,509","938,667","955,884","973,088","990,243","1,007,310","1,024,322","1,041,329","1,058,312","1,075,237","1,092,068","1,108,736","1,125,263","1,141,711","1,158,059","1,174,285","1,190,366","1,206,283","1,222,026","1,237,585","1,252,952","1,268,155","1,283,222","1,298,136"
Asia,IND,India,Output per Employed Person,Labor productivity per person employed in 2017 US$ (converted to 2017 price level with updated 2011 PPPs),"2,015","2,019","2,043","2,122","2,187","2,214","2,287","2,265","2,350","2,394","2,493","2,545","2,585","2,674","2,837","2,779","2,745","2,894","2,982","3,123","3,266","3,232","3,135","3,145","3,111","3,226","3,226","3,318","3,410","3,226","3,255","3,379","3,426","3,581","3,705","3,797","3,896","3,998","4,264","4,485","4,625","4,617","4,692","4,836","5,105","5,430","5,792","6,050","6,342","6,699","6,924","7,006","7,132","7,402","7,742","8,399","9,201","10,128","10,743","11,242","12,345","12,992","13,544","14,177","14,923","15,790","16,748","17,558","18,473"
Asia,IND,India,Output per Hour Worked,Labor productivity per hour worked in 2017 US$ (converted to 2017 price level with updated 2011 PPPs),,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,6,6,6,7,7,7,8,8,9
Asia,IND,India,Per Capita Income,GDP per capita in 2017 US$ (converted to 2017 price level with updated 2011 PPPs),912,913,921,953,980,990,"1,018","1,004","1,036","1,051","1,092","1,110","1,111","1,134","1,188","1,148","1,121","1,166","1,184","1,225","1,264","1,259","1,230","1,243","1,240","1,295","1,307","1,355","1,405","1,337","1,359","1,418","1,441","1,507","1,547","1,574","1,606","1,640","1,748","1,842","1,905","1,912","1,954","2,027","2,127","2,240","2,369","2,455","2,557","2,687","2,791","2,851","2,935","3,084","3,272","3,512","3,782","4,101","4,296","4,450","4,868","5,136","5,346","5,602","5,920","6,292","6,710","7,051","7,435"
Asia,IND,India,GDP growth,"Growth of GDP, percent change",,2,3,5,5,3,5,1,5,3,6,4,2,4,7,-1,0,6,4,6,5,2,0,3,2,7,3,6,6,-2,4,6,4,7,5,4,4,4,9,8,6,2,4,6,7,7,8,6,6,7,6,4,5,7,8,9,9,10,6,5,11,7,5,6,7,8,8,6,7
Asia,IND,India,Employment growth,"Growth of employment, percent change",,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,2,2,2,1,1,2,2,2,2,2,2,2,3,1,1,1,1,1,1,2,3,3,3,3,1,0,0,0,0,1,2,1,1,2,2,2,1,1
Asia,IND,India,Total Hours growth,"Growth of total hours worked, percent change",,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,2,3,2,1,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,2,3,3,3,3,1,0,0,0,1,1,2,1,1,2,2,2,1,1
Asia,IND,India,Population growth,"Growth of population, percent change",,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
Asia,IND,India,Output per Employed Person growth,"Growth of Labor Productivity per person employed, percent change",,0,1,4,3,1,3,-1,4,2,4,2,2,3,6,-2,-1,5,3,5,5,-1,-3,0,-1,4,0,3,3,-5,1,4,1,5,3,2,3,3,7,5,3,0,2,3,6,6,7,4,5,6,3,1,2,4,5,8,10,10,6,5,10,5,4,5,5,6,6,5,5
Asia,IND,India,Output per Hour Worked growth,"Growth of Labor Productivity per hour worked, percent change",,,,,,,,,,,,,,,,,,,,,,-1,-3,0,-1,4,0,3,3,-5,1,4,1,4,3,2,2,3,7,5,3,0,2,3,6,6,7,4,5,6,3,1,2,4,4,8,10,10,6,4,9,5,4,5,5,6,6,5,5
Asia,IND,India,Per Capita Income growth,"Growth of GDP per capita, percent change",,0,1,4,3,1,3,-1,3,2,4,2,0,2,5,-3,-2,4,2,3,3,0,-2,1,0,4,1,4,4,-5,2,4,2,5,3,2,2,2,7,5,3,0,2,4,5,5,6,4,4,5,4,2,3,5,6,7,8,8,5,4,9,6,4,5,6,6,7,5,5
Asia,IDN,Indonesia,GDP EKS,"Total GDP, in millions of 2017 US$ (converted to 2017 price level with updated 2011 PPPs)","128,199","137,754","144,274","151,452","160,897","165,317","167,498","178,956","172,508","179,918","187,555","199,850","199,630","191,978","199,072","201,056","201,092","196,552","215,723","242,279","267,788","282,448","314,417","361,077","379,380","379,380","412,805","444,996","465,310","490,634","532,835","569,470","548,517","570,490","609,865","624,884","661,592","694,186","733,972","799,992","871,108","948,883","1,010,776","1,091,192","1,173,467","1,269,928","1,369,211","1,433,562","1,245,382","1,255,235","1,317,729","1,365,740","1,427,191","1,495,416","1,570,649","1,660,059","1,751,378","1,862,503","2,001,107","2,095,194","2,228,818","2,366,331","2,509,022","2,648,455","2,781,054","2,916,666","3,062,953","3,218,237","3,383,897"
Asia,IDN,Indonesia,Employment,Persons employed (in thousands of persons),"26,555","26,925","27,301","27,682","28,068","28,460","28,857","29,259","29,667","30,081","30,501","31,069","31,648","32,238","32,839","33,451","34,074","34,709","35,356","36,015","36,687","37,628","38,697","40,224","42,098","44,420","47,306","48,315","51,780","51,004","51,553","53,819","57,803","58,220","59,749","62,457","68,338","70,402","72,518","73,425","75,851","76,423","78,518","79,200","82,038","80,110","85,702","87,050","87,674","88,816","89,838","90,807","91,647","92,811","93,723","93,958","95,457","99,930","102,552","104,871","108,208","109,670","110,808","112,761","114,628","115,076","117,232","119,503","120,982"
Asia,IDN,Indonesia,Average Hours Worked,Annual hours worked per worker,,,,,,,,,,,,,,,,,,,,,"1,988","1,990","2,021","2,032","2,030","2,011","1,973","1,991","1,976","1,988","2,003","2,034","2,013","2,052","2,057","2,029","1,888","1,890","1,886","1,891","1,909","1,928","1,897","1,899","1,930","1,928","1,917","1,923","1,929","1,950","1,913","1,935","1,918","1,942","1,969","1,954","1,965","2,043","2,044","2,064","2,054","2,023","2,026","2,024","2,008","2,024","2,024","2,024","2,024"
Asia,IDN,Indonesia,Total Hours,Total annual hours worked (in millions of hours worked),,,,,,,,,,,,,,,,,,,,,"72,935","74,891","78,206","81,736","85,454","89,347","93,333","96,186","102,308","101,404","103,274","109,476","116,376","119,439","122,896","126,730","129,016","133,063","136,781","138,875","144,827","147,367","148,975","150,374","158,311","154,454","164,309","167,391","169,108","173,149","171,862","175,752","175,755","180,225","184,546","183,548","187,584","204,156","209,650","216,419","222,294","221,894","224,536","228,255","230,226","232,946","237,312","241,909","244,901"
Asia,IDN,Indonesia,Population,Midyear population (in thousands of persons),"82,612","83,773","84,946","86,167","87,441","88,766","90,136","91,559","93,014","94,506","95,961","97,610","99,620","101,674","103,772","105,913","108,103","110,339","112,623","114,956","117,338","119,767","122,565","125,432","128,369","131,219","134,314","137,487","140,739","144,073","147,490","150,657","153,895","157,208","160,595","164,061","166,997","169,990","173,041","176,152","179,323","182,436","185,561","188,687","191,867","195,127","198,466","201,698","204,872","208,105","211,408","214,475","217,515","220,549","223,566","226,372","229,289","232,153","234,957","237,698","240,372","242,981","245,529","248,013","250,431","252,786","255,079","257,315","259,494"
Asia,IDN,Indonesia,Output per Employed Person,Labor productivity per person employed in 2017 US$ (converted to 2017 price level with updated 2011 PPPs),"4,828","5,116","5,285","5,471","5,732","5,809","5,804","6,116","5,815","5,981","6,149","6,432","6,308","5,955","6,062","6,010","5,902","5,663","6,101","6,727","7,299","7,506","8,125","8,977","9,012","8,541","8,726","9,210","8,986","9,619","10,336","10,581","9,489","9,799","10,207","10,005","9,681","9,860","10,121","10,895","11,485","12,416","12,873","13,778","14,304","15,852","15,976","16,468","14,205","14,133","14,668","15,040","15,573","16,112","16,758","17,668","18,347","18,638","19,513","19,979","20,598","21,577","22,643","23,487","24,262","25,346","26,127","26,930","27,970"
Asia,IDN,Indonesia,Output per Hour Worked,Labor productivity per hour worked in 2017 US$ (converted to 2017 price level with updated 2011 PPPs),,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,7,7,7,8,8,9,7,7,8,8,8,8,9,9,9,9,10,10,10,11,11,12,12,13,13,13,14
Asia,IDN,Indonesia,Per Capita Income,GDP per capita in 2017 US$ (converted to 2017 price level with updated 2011 PPPs),"1,552","1,644","1,698","1,758","1,840","1,862","1,858","1,955","1,855","1,904","1,955","2,047","2,004","1,888","1,918","1,898","1,860","1,781","1,915","2,108","2,282","2,358","2,565","2,879","2,955","2,891","3,073","3,237","3,306","3,405","3,613","3,780","3,564","3,629","3,798","3,809","3,962","4,084","4,242","4,541","4,858","5,201","5,447","5,783","6,116","6,508","6,899","7,107","6,079","6,032","6,233","6,368","6,561","6,780","7,025","7,333","7,638","8,023","8,517","8,815","9,272","9,739","10,219","10,679","11,105","11,538","12,008","12,507","13,040"
Asia,IDN,Indonesia,GDP growth,"Growth of GDP, percent change",,7,5,5,6,3,1,7,-4,4,4,7,0,-4,4,1,0,-2,10,12,11,5,11,15,5,0,9,8,5,5,9,7,-4,4,7,2,6,5,6,9,9,9,7,8,8,8,8,5,-13,1,5,4,4,5,5,6,6,6,7,5,6,6,6,6,5,5,5,5,5
Asia,IDN,Indonesia,Employment growth,"Growth of employment, percent change",,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,4,5,6,6,2,7,-1,1,4,7,1,3,5,9,3,3,1,3,1,3,1,4,-2,7,2,1,1,1,1,1,1,1,0,2,5,3,2,3,1,1,2,2,0,2,2,1
